Year,Artist,Album,Song,Co-written with
2000,Britney Spears,Oops!... I Did It Again,"""Where Are You Now""","Rami Yacoub, Andreas Carlsson"
2000,Britney Spears,Oops!... I Did It Again,"""Can't Make You Love Me""","Kristian Lundin, Andreas Carlsson"
2000,Britney Spears,Oops!... I Did It Again,"""Girl in the Mirror""","Rami Yacoub, Jörgen Elofsson"
2000,Jessica Folker,Dino,"""Missing You Crazy""",Jolyon Skinner
2000,NSYNC,No Strings Attached,"""It's Gonna Be Me""","Rami Yacoub, Andreas Carlsson"
2000,NSYNC,No Strings Attached,"""I'll Never Stop""","Kristian Lundin, Alexander Kronlund"
2000,Westlife,Coast to Coast,"""When You're Looking Like That""","Rami Yacoub, Andreas Carlsson"
2000,Westlife,Coast to Coast,"""You Make Me Feel""","Nick Jarl, Patric Jonsson"
2001,Lambretta,Lambretta,"""Bimbo""","Per Aldeheim, Alexander Kronlund"
2001,Lambretta,Lambretta,"""Creep""","Per Aldeheim, Alexander Kronlund"
2001,*NSYNC,Celebrity,"""Tell Me, Tell Me...Baby""",Rami Yacoub
2001,Prime STH,Underneath the Surface,"""I'm Stupid (Don't Worry 'Bout Me)""",Noa Modén
2002,Def Leppard,X,"""Unbelievable""","Andreas Carlsson, Per Aldeheim"
2002,Play,Play,"""Is It Love""",Jörgen Elofsson
2001,Britney Spears,Britney,"""Overprotected""",Rami Yacoub
2001,Britney Spears,Britney,"""I'm Not a Girl, Not Yet a Woman""","Rami Yacoub, Florian Armstrong"
2001,Britney Spears,Britney,"""Cinderella""","Rami Yacoub, Britney Spears"
2001,Britney Spears,Britney,"""Bombastic Love""",Rami Yacoub
2002,Pain,Nothing Remains the Same,"""Just Hate Me""",Per Aldeheim
2002,Nick Carter,Now or Never
2002,Nick Carter,Now or Never,"""I Got You""",Rami Yacoub
2002,Nick Carter,Now or Never,"""Blow Your Mind""","Rami Yacoub, Per Aldeheim"
2002,Nick Carter,Now or Never,"""I Just Wanna Take You Home""","Rami Yacoub, Per Aldeheim"
2003,Celine Dion,One Heart,"""Love Is All We Need""",Rami Yacoub
2003,Celine Dion,One Heart,"""Faith""",Rami Yacoub
2003,Celine Dion,One Heart,"""In His Touch""",Rami Yacoub
2004,Ana Johnsson,The Way I Am,"""Don't Cry for Pain""",Ana Johnsson
2004,Ana Johnsson,The Way I Am,"""I'm Stupid""",Noa Modén
2004,Kelly Clarkson,Breakaway,"""Since U Been Gone""",Lukasz Gottwald
2004,Kelly Clarkson,Breakaway,"""Behind These Hazel Eyes""","Kelly Clarkson, Lukasz Gottwald"
2004,E-Type,Loud Pipes Save Lives,"""Camilla""","Fredrik Ekdahl, Martin Eriksson"
2004,E-Type,Loud Pipes Save Lives,"""Olympia""","Fredrik Ekdahl, Martin Eriksson"
2005,A-ha,Analogue,"""Analogue (All I Want)""","Magne Furuholmen, Paul Waaktaar-Savoy"
2005,Backstreet Boys,Never Gone,"""Just Want You to Know""",Lukasz Gottwald
2005,Backstreet Boys,Never Gone,"""I Still...""",Rami Yacoub
2005,Backstreet Boys,Never Gone,"""Climbing the Walls""",Lukasz Gottwald
2005,Backstreet Boys,Never Gone,"""Siberia""","Rami Yacoub, Alexandra Talomaa"
2005,Bon Jovi,Have a Nice Day,"""Complicated""","John Bongiovi, William Falcone"
2005,Twill,,"""Is It Love""",Jörgen Elofsson
2005,Darin,The Anthem,"""Stand by Me""",Alexandra Talomaa
2005,Marion Raven,Here I Am,"""Break You""",Lukasz Gottwald
2005,Marion Raven,Here I Am,"""Here I Am""","Rami Yacoub, Marion Ravn"
